titulo ,score,date
Akuu Daisakusen Srungle,6.16,"Jan 21, 1983, 17:30 (JST)"
Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,6.18,"Jul 13, 1999, 01:15 (JST)"
Akai Koudan Zillion: Utahime Yakyoku,5.79,"Jun 21, 1988"
Hi-Speed Jecy,6.11,"Sep 5, 1989"
Guitar wo Motta Shounen: Kikaider vs. Inazuman,6.42,"Sep 18, 2003"
The☆Doraemons: Dokidoki Kikansha Daibakusou!,6.31,"Mar 4, 2000"
Rusty Nail,6.18,"??? ??, 1999"
Next Senki Ehrgeiz,5.52,"Oct 2, 1997, 01:15 (JST)"
Choujin Locke: Lord Leon,6.09,"Oct 25, 1989"
Genei Toushi Bastof Lemon,6.14,"May 3, 2001"
Uchuu Senshi Baldios (Movie),6.37,"Dec 29, 1981"
Ryuuseiki Gakusaver,6.47,"Aug 21, 1993"
Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis,6.11,"Jul 13, 1985"
Shin Seiki Den Mars,5.66,"Oct 31, 2002"
Kiss Dum R: Meguriahi,6.14,"Oct 19, 2008"
Moonrise,N/A,"??? ??, ????"
Ark,6.04,"Jun 2, 2005"
Zero Seiki Movie 3: Maetel,N/A,"??? ??, ????"
Kishin Houkou Demonbane (TV) Specials,5.79,"Aug 25, 2006"
Wolf Guy,5.42,"Dec 17, 1992"
Mirai Koushi Harima SACLA,5.60,"Dec 3, 2013"
Dr. Slump Movie 06: Arale-chan N-cha! Penguin Mura wa Hare Nochi Hare,6.16,"Jun 3, 1993"
A.F,4.45,"Sep 6, 2002"
Super Child,4.88,"Jul 23, 1994"
The☆Doraemons: Goal! Goal! Goal!!,6.20,"Mar 9, 2002"
Koukaku Kidoutai 2.0,8.01,"Jul 12, 2008"
Planetarian: Chiisana Hoshi no Yume,7.56,"Jul 7, 2016"
Mobile Suit Gundam Unicorn,8.15,"Mar 12, 2010"
The Big O,7.53,"Oct 13, 1999"
Togainu no Chi,6.27,"Oct 8, 2010"
Concrete Revolutio: Choujin Gensou,6.71,"Oct 4, 2015, 23:00 (JST)"
Terra Formars: Revenge,6.72,"Apr 2, 2016, 01:05 (JST)"
Blassreiter,6.93,"Apr 6, 2008"
Fractale,6.95,"Jan 14, 2011, 00:45 (JST)"
Vandread,7.20,"Oct 3, 2000, 18:30 (JST)"
One Punch Man 2nd Season Specials,7.31,"Oct 25, 2019"
Bobobo-bo Bo-bobo,7.49,"Nov 8, 2003"
Dead Leaves,7.22,"Jan 16, 2004"
FLCL Alternative,6.57,"Sep 7, 2018"
Strike Witches 2,7.32,"Jul 8, 2010, 01:30 (JST)"
To LOVE-Ru Darkness 2nd Specials,7.62,"Feb 26, 2016"
Buddy Complex,7.17,"Jan 6, 2014, 00:00 (JST)"
s.CRY.ed,7.37,"Jul 4, 2001, 18:00 (JST)"
Gantz:O,7.45,"Oct 14, 2016"
Kyoukaisenjou no Horizon II,7.54,"Jul 8, 2012"
Norn9: Norn+Nonet,6.56,"Jan 7, 2016, 21:30 (JST)"
